Precomputing item embeddings...
Retry 0 for AHGVCDU5AWJGFESCEVHFRKTFVMVQ: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AHZ5Z6537RE6JLCIDZUNBU4SG3CA: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AFODLOI5NDWUGDK2PJKWP56GUL6A: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AE2M74DTTHWPPSVITBK4EIE7R5UA: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AFMLCGU4ATYI3GWGN3ZZSCDZGOSQ: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AHEARE7AZPHOXZIRIYRKMAMW65UA: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AHGFSZDQWOBMI6KF42IABTU2TK2A: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AHHSAADGVYYJXWJZEHCDTVYI6PUQ: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AHHX5TXO3YVWKTBXHNX6QPFEQ77Q: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AHRJN656C3UVQRY32ECGP5G4JR3A: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AH27HTACMF57G2Y7LYRARXE6MRWQ: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AEU2A4VHYKCKT5IPFSWJXVRLTF5A: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AGVSAFRYRBPT6377VKGYXFMTO6FQ: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AGRYU3RTH5C3VUO5PRVVEJU2RCQQ: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AE354REWN2MTIG5G7QZTGDSAGDUQ: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AEFWF4VRJDBSEN4RDO4ZNYGNPLZQ: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AGZYAIUFQSFPSOLEON2T5L4ZTRMA: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AF3ALD6FPHCDFDTZQ2JULE5C5DCA: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
Retry 0 for AGWT6HKQFODQ4EJ6BSFVZ2OQWAFA: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-cweJKFXoodgdsEBuNpN6mcxm on requests per min (RPM): Limit 10000, Used 10000, Requested 1. Please try again in 6ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
