lambda_pop,gamma_div,lambda_aug,best_score,best_hr,best_popdiff,best_diversity,best_epoch
0.05,0.05,0.05,-0.4488,0.1102,-1.2195,0.2538,5
0.05,0.05,0.1,-0.4494,0.1099,-1.2219,0.2584,5
0.05,0.05,0.2,-0.4478,0.11,-1.2222,0.2664,5
0.05,0.1,0.05,-0.4479,0.1102,-1.2176,0.2536,5
0.05,0.1,0.1,-0.4488,0.11,-1.2206,0.2573,5
0.05,0.1,0.2,-0.4478,0.11,-1.2221,0.2658,5
0.1,0.05,0.05,-0.4493,0.11,-1.2202,0.2537,5
0.1,0.05,0.1,-0.449,0.1099,-1.2212,0.2585,5
0.1,0.05,0.2,-0.447,0.11,-1.2205,0.2664,5
0.1,0.1,0.05,-0.4491,0.1103,-1.2202,0.2533,5
0.1,0.1,0.1,-0.4488,0.11,-1.221,0.2584,5
0.1,0.1,0.2,-0.4471,0.1099,-1.2204,0.2661,5
0.2,0.05,0.05,-0.4492,0.1099,-1.2195,0.2533,5
0.2,0.05,0.1,-0.4492,0.1099,-1.2215,0.2579,5
0.2,0.05,0.2,-0.4487,0.11,-1.224,0.2662,5
0.2,0.1,0.05,-0.4489,0.1102,-1.2197,0.2541,5
0.2,0.1,0.1,-0.4484,0.11,-1.2203,0.2583,5
0.2,0.1,0.2,-0.4475,0.1102,-1.2217,0.2661,5
