Experiment,HR@1,HR@5,HR@10,NDCG@10,LogPopDiff,Diversity,Coverage,seed
LLM (ChatGPT base),0.1028,0.1789,0.2428,0.162,-1.519,0.3788,0.4684,44
LLM (ChatGPT fair),0.0648,0.1307,0.2188,0.1252,-1.501,0.3918,0.4706,44
Combined (BLAIR + ChatGPT fair),0.017,0.024,0.0275,0.0218,-1.2536,,0.3705,44
LLM (DeepSeek base),0.0354,0.0803,0.1286,0.0732,-1.5751,0.3929,0.498,44
LLM (DeepSeek fair),0.0458,0.0878,0.1388,0.0828,-1.5724,0.3898,0.4984,44
Combined (BLAIR + DeepSeek fair),0.0522,0.1032,0.1142,0.084,-1.0865,,0.3736,44
LLM (ChatGPT base),0.1021,0.1801,0.2435,0.1618,-1.5212,0.3787,0.4683,43
LLM (ChatGPT fair),0.0643,0.131,0.22,0.1254,-1.5004,0.3917,0.4705,43
Combined (BLAIR + ChatGPT fair),0.017,0.0244,0.0289,0.0224,-1.2541,,0.3692,43
LLM (DeepSeek base),0.0355,0.0819,0.1302,0.0742,-1.575,0.3929,0.498,43
LLM (DeepSeek fair),0.0451,0.0877,0.1387,0.0823,-1.5726,0.3898,0.4984,43
Combined (BLAIR + DeepSeek fair),0.0526,0.1034,0.1144,0.0842,-1.0865,,0.3735,43
LLM (ChatGPT base),0.1021,0.1807,0.2432,0.162,-1.5171,0.3784,0.4681,42
LLM (ChatGPT fair),0.0652,0.1332,0.2277,0.1287,-1.4999,0.3913,0.4716,42
Combined (BLAIR + ChatGPT fair),0.017,0.0247,0.0294,0.0226,-1.2511,,0.3697,42
LLM (DeepSeek base),0.0357,0.0806,0.1286,0.0737,-1.5752,0.3929,0.498,42
LLM (DeepSeek fair),0.0454,0.0879,0.1393,0.0828,-1.5722,0.3898,0.4982,42
Combined (BLAIR + DeepSeek fair),0.0519,0.1037,0.1143,0.0839,-1.0863,,0.3735,42
