Cold_Cold_HR@10,Cold_Warm_HR@10,Coverage,Diversity,Experiment,Gini,HHI,HR@1,HR@10,HR@5,LogPopDiff,Model,NDCG@10,Source,best_epoch,head_HR,loss,mid_HR,model,tail_HR,test_coverage,test_diversity,test_hr@10,test_ndcg@10,test_popdiff,val_diversity,val_hr,val_ndcg,val_popdiff
,,0.2401,0.0009,Zero-shot RoBERTa,,,0.0818,0.1086,0.1014,-1.2587,,0.0941,Config A,,,,,,,,,,,,,,,
,,0.3434,0.0988,Zero-shot BLAIR,,,0.0818,0.1071,0.099,-1.3577,,0.0932,Config A,,,,,,,,,,,,,,,
,,0.3705,0.3868,BLAIR Base (GPT-4o-mini full aug),,,0.0825,0.1158,0.1054,-1.0857,,0.0977,Config A,,,,,,,,,,,,,,,
,,0.3763,0.3525,BLAIR Large (GPT-4o-mini full aug),,,0.0821,0.1158,0.1058,-1.0983,,0.0974,Config A,,,,,,,,,,,,,,,
,,0.4682,0.3784,LLM (ChatGPT base),,,0.1039,0.246,0.1818,-1.5154,,0.164,Config A,,,,,,,,,,,,,,,
,,0.4717,0.3918,LLM (ChatGPT fair),,,0.065,0.2259,0.134,-1.4997,,0.1279,Config A,,,,,,,,,,,,,,,
,,0.3706,0.404,Combined (BLAIR + ChatGPT fair),,,0.0175,0.0288,0.0251,-1.2499,,0.0227,Config A,,,,,,,,,,,,,,,
,,0.371,0.4052,BLAIR Base (DeepSeek full aug),,,0.0834,0.1163,0.1052,-1.0832,,0.0979,Config B,,,,,,,,,,,,,,,
,,0.3809,0.4753,BLAIR Base (GPT-4o full aug),,,0.0819,0.121,0.1076,-1.0801,,0.099,Config B,,,,,,,,,,,,,,,
,,0.3550,0.3048,"LLM‑as‑Embedder (Llama‑3.1‑8B, full aug)",,,0.0824,0.1121,0.1032,-1.1157,,0.0959,Config B,,,,,,,,,,,,,,,
,,0.4982,0.3929,LLM (DeepSeek base),,,0.0356,0.1293,0.0816,-1.5749,,0.074,Config B,,,,,,,,,,,,,,,
,,0.4983,0.3898,LLM (DeepSeek fair),,,0.0459,0.139,0.0879,-1.5722,,0.083,Config B,,,,,,,,,,,,,,,
,,0.382,0.4604,Combined (BLAIR + DeepSeek fair),,,0.0524,0.1172,0.1079,-1.0834,,0.0854,Config B,,,,,,,,,,,,,,,
,,0.3791,0.4547,Retriever Top‑10 (pool=100 baseline),,,0.0823,0.1171,0.1086,-1.0816,,0.0983,Config B,,,,,,,,,,,,,,,
,,0.3794,0.4711,"BLAIR Base (best-tuned, full aug)",,,0.0825,0.1201,0.1073,-1.0820,,0.0992,Config B,,,,,,,,,,,,,,,
,,0.3791,0.4547,Retriever Top‑10 (pool=30 baseline),,,,0.1171,,-1.0818,,0.0981,Swap Experiment,,,,,,,,,,,,,,,
,,0.3788,0.4633,"Swap Combined (pool=30, keep=8, swap=2)",,,,0.1166,,-1.0789,,0.0980,Swap Experiment,,,,,,,,,,,,,,,
,,0.3434,,Zero‑shot BLAIR (pool=30 baseline),,,,0.1071,,-1.3578,,0.0935,Swap Experiment,,,,,,,,,,,,,,,
,,0.3443,,"Zero‑shot BLAIR Swap (pool=30, keep=8, swap=2)",,,,0.1063,,-1.3510,,0.0932,Swap Experiment,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Stratified Recall,,0.1386,,0.0380,base_500aug,0.0000,,,,,,,,,
,,,,,,,,,,,,,Stratified Recall,,0.1343,,0.0367,base_fullaug,0.0000,,,,,,,,,
,,,,,,,,,,,,,Stratified Recall,,0.1370,,0.0380,base_deepseek_fullaug,0.0000,,,,,,,,,
,,,,,,,,,,,,,Stratified Recall,,0.1369,,0.0387,base_gpt4o_fullaug,0.0000,,,,,,,,,
,,,,,,,,,,,,,Stratified Recall,,0.1353,,0.0326,large_fullaug,0.0000,,,,,,,,,
,,,,,,,,,,,,,Stratified Recall,,0.1300,,0.0360,llm_fullaug,0.0000,,,,,,,,,
,,,,,,,,,,,,,Loss Comparison (Val),N/A (pre‑trained),,infonce,,,,,,,,,0.2878,0.1113,0.0958,-1.2238
,,,,,,,,,,,,,Loss Comparison (Val),N/A (pre‑trained),,bpr,,,,,,,,,0.3002,0.1099,0.0956,-1.2212
,,,,,,,,,,,,,Loss Comparison (Val),N/A (pre‑trained),,debiased,,,,,,,,,0.2618,0.1112,0.0957,-1.2068
,,,,,,,,,,,,,Loss Comparison (Val),N/A (pre‑trained),,bc,,,,,,,,,0.2621,0.1109,0.0959,-1.2163
,,,,,,,,,,,,,Loss Comparison (Val),N/A (pre‑trained),,sce,,,,,,,,,0.2753,0.1103,0.0957,-1.2158
,,,,,,,,,,,,,Loss Comparison (Val),N/A (pre‑trained),,ipw_sce,,,,,,,,,0.3952,0.1112,0.0961,-1.2102
,,,,,,,,,,,,,Loss Comparison (Test),,,infonce,,,,0.3715,0.3625,0.1142,0.097,-1.1047,,,,
,,,,,,,,,,,,,Loss Comparison (Test),,,debiased,,,,0.372,0.3383,0.114,0.097,-1.0921,,,,
,,,,,,,,,,,,,Loss Comparison (Test),,,ipw_sce,,,,0.3756,0.4672,0.1201,0.0997,-1.0633,,,,
0.0648,0.1288,,,,,,,,,,zero_shot,,Cold‑Start (≤5),,,,,,,,,,,,,,,
0.0781,0.1409,,,,,,,,,,base_500aug,,Cold‑Start (≤5),,,,,,,,,,,,,,,
0.0758,0.1364,,,,,,,,,,base_fullaug,,Cold‑Start (≤5),,,,,,,,,,,,,,,
0.0781,0.1389,,,,,,,,,,base_deepseek_fullaug,,Cold‑Start (≤5),,,,,,,,,,,,,,,
0.0781,0.1389,,,,,,,,,,base_gpt4o_fullaug,,Cold‑Start (≤5),,,,,,,,,,,,,,,
0.0709,0.1389,,,,,,,,,,large_fullaug,,Cold‑Start (≤5),,,,,,,,,,,,,,,
0.0709,0.1331,,,,,,,,,,llm_fullaug,,Cold‑Start (≤5),,,,,,,,,,,,,,,
0.0811,0.1401,,,,,,,,,,best_tuned,,Cold‑Start (≤5),,,,,,,,,,,,,,,
,,,,,0.3876,0.0001,,,,,zero_shot,,Provider Fairness,,,,,,,,,,,,,,,
,,,,,0.3393,0.0000,,,,,base_500aug,,Provider Fairness,,,,,,,,,,,,,,,
,,,,,0.3482,0.0000,,,,,base_fullaug,,Provider Fairness,,,,,,,,,,,,,,,
,,,,,0.3397,0.0000,,,,,base_deepseek_fullaug,,Provider Fairness,,,,,,,,,,,,,,,
,,,,,0.3386,0.0000,,,,,base_gpt4o_fullaug,,Provider Fairness,,,,,,,,,,,,,,,
,,,,,0.3449,0.0000,,,,,large_fullaug,,Provider Fairness,,,,,,,,,,,,,,,
,,,,,0.3649,0.0000,,,,,llm_fullaug,,Provider Fairness,,,,,,,,,,,,,,,
,,,,,0.3397,0.0000,,,,,best_tuned,,Provider Fairness,,,,,,,,,,,,,,,
